"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2020,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Nou. Milers d'euros","N/A"
2020,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Nou. Milers d'euros","N/A"
2020,1,7,"Horta-Guinardó",34,"Can Baró","Nou. Milers d'euros","N/A"
2020,1,7,"Horta-Guinardó",35,"el Guinardó","Nou. Milers d'euros","N/A"
2020,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Nou. Milers d'euros","N/A"
2020,1,7,"Horta-Guinardó",37,"el Carmel","Nou. Milers d'euros","193.6"
2020,1,7,"Horta-Guinardó",38,"la Teixonera","Nou. Milers d'euros","168.8"
2020,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Nou. Milers d'euros","N/A"
2020,1,7,"Horta-Guinardó",40,"Montbau","Nou. Milers d'euros","N/A"
2020,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Nou. Milers d'euros","190.0"
2020,1,7,"Horta-Guinardó",42,"la Clota","Nou. Milers d'euros","N/A"
2020,1,7,"Horta-Guinardó",43,"Horta","Nou. Milers d'euros","368.2"
2020,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Nou. Milers d'euros","N/A"
2020,1,8,"Nou Barris",45,"Porta","Nou. Milers d'euros","N/A"
2020,1,8,"Nou Barris",46,"el Turó de la Peira","Nou. Milers d'euros","N/A"
2020,1,8,"Nou Barris",47,"Can Peguera","Nou. Milers d'euros","N/A"
2020,1,8,"Nou Barris",48,"la Guineueta","Nou. Milers d'euros","N/A"
2020,1,8,"Nou Barris",49,"Canyelles","Nou. Milers d'euros","N/A"
2020,1,8,"Nou Barris",50,"les Roquetes","Nou. Milers d'euros","N/A"
2020,1,8,"Nou Barris",51,"Verdun","Nou. Milers d'euros","N/A"
2020,1,8,"Nou Barris",52,"la Prosperitat","Nou. Milers d'euros","N/A"
2020,1,8,"Nou Barris",53,"la Trinitat Nova","Nou. Milers d'euros","N/A"
2020,1,8,"Nou Barris",54,"Torre Baró","Nou. Milers d'euros","N/A"
2020,1,8,"Nou Barris",55,"Ciutat Meridiana","Nou. Milers d'euros","N/A"
2020,1,8,"Nou Barris",56,"Vallbona","Nou. Milers d'euros","N/A"
2020,1,9,"Sant Andreu",57,"la Trinitat Vella","Nou. Milers d'euros","N/A"
2020,1,9,"Sant Andreu",58,"Baró de Viver","Nou. Milers d'euros","N/A"
2020,1,9,"Sant Andreu",59,"el Bon Pastor","Nou. Milers d'euros","N/A"
2020,1,9,"Sant Andreu",60,"Sant Andreu","Nou. Milers d'euros","266.6"
2020,1,9,"Sant Andreu",61,"la Sagrera","Nou. Milers d'euros","N/A"
2020,1,9,"Sant Andreu",62,"el Congrés i els Indians","Nou. Milers d'euros","N/A"
2020,1,9,"Sant Andreu",63,"Navas","Nou. Milers d'euros","560.2"
2020,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Nou. Milers d'euros","550.2"
2020,1,10,"Sant Martí",65,"el Clot","Nou. Milers d'euros","423.2"
2020,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Nou. Milers d'euros","N/A"
2020,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Nou. Milers d'euros","N/A"
2020,1,10,"Sant Martí",68,"el Poblenou","Nou. Milers d'euros","420.1"
2020,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Nou. Milers d'euros","N/A"
2020,1,10,"Sant Martí",70,"el Besòs i el Maresme","Nou. Milers d'euros","N/A"
2020,1,10,"Sant Martí",71,"Provençals del Poblenou","Nou. Milers d'euros","N/A"
2020,1,10,"Sant Martí",72,"Sant Martí de Provençals","Nou. Milers d'euros","N/A"
2020,1,10,"Sant Martí",73,"la Verneda i la Pau","Nou. Milers d'euros","193.2"
2020,1,1,"Ciutat Vella",1,"el Raval","Usat. Milers d'euros","194.1"
2020,1,1,"Ciutat Vella",2,"el Barri Gòtic","Usat. Milers d'euros","367.7"
2020,1,1,"Ciutat Vella",3,"la Barceloneta","Usat. Milers d'euros","219.4"
2020,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Usat. Milers d'euros","304.4"
2020,1,2,"Eixample",5,"el Fort Pienc","Usat. Milers d'euros","501.1"
2020,1,2,"Eixample",6,"la Sagrada Família","Usat. Milers d'euros","239.7"
2020,1,2,"Eixample",7,"la Dreta de l'Eixample","Usat. Milers d'euros","552.8"
